ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,BL_x,BL_y,BL_z,BR_x,BR_y,BR_z,FL_contact,FR_contact,BL_contact,BR_contact,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_w,gt_rot_x,gt_rot_y,gt_rot_z,state_est_rot_w,state_est_rot_x,state_est_rot_y,state_est_rot_z,state_est_pos_x,state_est_pos_y,state_est_pos_z
1747821628.2788,0.106541976,-0.04070143,11.246762276,-0.021305285,0.191747576,-0.059654802,0.22197652,0.166489944,-0.278664958,0.196695636,-0.155978907,-0.32050339,-0.164642915,0.168218818,-0.314762292,-0.14704787,-0.168577778,-0.26497656,0,1,1,0,5032.482421875,17.019462585,299.783172607,0.330862999,0.009380834,-0.018769361,0.943445504,-0.118265741,0.003147466,-0.009266703,0.992933752,-1.622309771,0.193098966,0.23050102
1747821628.28696,0.016759412,-0.434547603,9.877279282,0.094808526,0.089482203,-0.038349517,0.238227745,0.164847461,-0.276806121,0.193081483,-0.156023633,-0.320195802,-0.16857783,0.16726984,-0.315188827,-0.130843086,-0.16810882,-0.261556799,0,1,1,0,5029.388671875,19.526311874,300.00177002,0.331092507,0.008627868,-0.01868446,0.943373859,-0.118072173,0.002618947,-0.009287345,0.99295813,-1.625470213,0.191867827,0.230536597
1747821628.29561,0.320823014,0.286107093,9.161413193,0.064981125,0.106526434,-0.013848436,0.250588915,0.162720349,-0.276845793,0.190191395,-0.156027117,-0.319922815,-0.172244686,0.166240311,-0.315591937,-0.121531278,-0.167785262,-0.26058793,0,1,1,0,5026.256835938,22.01304245,300.304443359,0.331093967,0.00840595,-0.018172035,0.943385363,-0.117928272,0.002021307,-0.008999077,0.992979281,-1.629483891,0.190561414,0.230646119
1747821628.30357,0.074220255,1.035492182,7.360973358,0.046871629,0.05645901,-0.043675836,0.260570932,0.161311871,-0.277716332,0.187494818,-0.15596499,-0.319708483,-0.17528226,0.165569444,-0.315779987,-0.109554849,-0.167487495,-0.259889273,0,1,1,0,5023.09765625,24.534240723,300.475982666,0.331097394,0.008016688,-0.017971188,0.943391383,-0.11778569,0.001664697,-0.00890548,0.99299771,-1.632712747,0.189580992,0.230629725
1747821628.31267,0.900219858,-0.20590134,6.211756229,0.136353835,-0.028762136,-0.059654802,0.27225579,0.159560002,-0.278729021,0.184802989,-0.156082457,-0.31948992,-0.178074716,0.165097946,-0.315889297,-0.101201948,-0.167641554,-0.261545981,0,1,1,0,5019.883300781,26.968427658,300.568878174,0.331371009,0.007656986,-0.017713331,0.943303168,-0.11751401,0.00160656,-0.008442246,0.99303404,-1.635549528,0.188830626,0.230634237
1747821628.32056,1.019929886,1.233013868,6.534973621,0.074568503,-0.116113812,-0.120374866,0.279788777,0.158558528,-0.282827039,0.181165188,-0.156792368,-0.318665402,-0.182555493,0.165167888,-0.315391345,-0.090753618,-0.168269249,-0.263612815,0,1,1,0,5016.59765625,29.448839188,300.4453125,0.331487507,0.008087445,-0.01710722,0.943269849,-0.117245294,0.001697892,-0.007981819,0.993069458,-1.638612879,0.188157445,0.23003207
1747821628.32891,1.065419793,-0.634463429,6.574477673,0.132092774,-0.077764295,-0.092677996,0.284824634,0.158567202,-0.286545823,0.178609275,-0.157244004,-0.318171831,-0.186263607,0.165149294,-0.315168986,-0.085249252,-0.16909141,-0.266963724,0,1,1,0,5013.204589844,32.022666931,300.086517334,0.331887394,0.008368225,-0.016958147,0.94312942,-0.116816692,0.001967018,-0.007523978,0.993123044,-1.641564338,0.187488204,0.229692689
1747821628.33772,1.44729495,-0.330399841,7.230489254,0.26738134,-0.074568503,-0.115048543,0.289304085,0.15915419,-0.290796219,0.174999673,-0.157523199,-0.31751483,-0.189903889,0.164912012,-0.314991359,-0.080649747,-0.169928283,-0.270638049,0,1,1,0,5009.76171875,34.632061005,299.566131592,0.33223632,0.008746846,-0.016524274,0.943010867,-0.116323344,0.002277369,-0.006533957,0.993187294,-1.645413945,0.18676461,0.229189533
1747821628.34593,1.9309237,-0.656011283,7.674613476,0.255663425,-0.067111649,-0.129962251,0.289943412,0.160412791,-0.294582498,0.171778574,-0.15794296,-0.316810748,-0.192567838,0.164569865,-0.314780524,-0.079747033,-0.171181496,-0.275226139,0,1,1,0,5006.221191406,37.310390472,298.874328613,0.332666487,0.00943235,-0.015292542,0.942873359,-0.115881145,0.002540803,-0.005293983,0.993245729,-1.64814395,0.186484203,0.228830694
1747821628.35375,1.653196216,-0.418985307,9.497797966,0.252467632,-0.019174758,-0.09693905,0.28867114,0.162461393,-0.298121741,0.167101977,-0.158550497,-0.315730421,-0.196061894,0.164230207,-0.314485883,-0.080737779,-0.172684687,-0.281035696,0,1,1,0,5002.582519531,40.101982117,298.046905518,0.333119035,0.010026996,-0.014650373,0.942717612,-0.115456474,0.002589123,-0.004099783,0.993300705,-1.651941643,0.185831495,0.228092384
